City,Type,Name,Cost,Rating,Duration,Description
Paris,Flight,Air France Direct,1200,4.8,8h,"A comfortable direct flight with meals included."
Paris,Flight,Budget Air Connect,600,3.5,14h,"Low cost carrier with a layover."
Paris,Hotel,Le Grand Paris,450,5.0,N/A,"Luxury hotel right near the Louvre."
Paris,Hotel,Cozy Montmartre Inn,150,4.2,N/A,"Charming small room in a historic district."
Paris,Activity,Eiffel Tower Summit,50,4.8,3h,"Skip-the-line tickets to the very top."
Paris,Activity,Seine River Cruise,20,4.0,1h,"Relaxing boat tour at sunset."
Paris,Activity,Louvre Private Tour,200,5.0,4h,"Guided tour of the masterpieces without the crowds."
Tokyo,Flight,JAL Executive,2500,5.0,12h,"Premium luxury experience."
Tokyo,Flight,Economy Saver,900,3.8,16h,"Basic transport, bring your own snacks."
Tokyo,Hotel,Tokyo Station Hotel,500,4.9,N/A,"High-end heritage hotel perfectly located."
Tokyo,Hotel,Capsule Pods,50,3.5,N/A,"Efficient and unique sleeping experience."
Tokyo,Activity,Robot Restaurant,80,4.5,2h,"Wild and colorful robotic show."
Tokyo,Activity,Sushi Masterclass,150,4.9,3h,"Learn to make sushi from a master chef."
Tokyo,Activity,Senso-ji Temple,0,4.7,2h,"Visit the oldest temple in Tokyo for free."
New York,Flight,Delta Shuttle,300,4.2,2h,"Quick hop for business or pleasure."
New York,Hotel,The Plaza,900,5.0,N/A,"Iconic luxury at Central Park."
New York,Hotel,Brooklyn Loft Airbnb,200,4.5,N/A,"Hip apartment in Williamsburg."
New York,Activity,Broadway Show,150,4.8,3h,"Top-tier musical performance."
New York,Activity,Central Park Bike Ride,25,4.5,2h,"Scenic ride through the park."
New York,Activity,Pizza Tour,60,4.9,3h,"Taste the best slices in Brooklyn."
